SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
3.5399413,129.87051,5.039322,3.6619735,-1.4199675,-0.26605988
-15.279981,118.64522,-5.733899,-0.7314804,-0.23214826,2.061377
11.061719,104.404396,-1.024916,0.6009186,-1.7261183,0.840044
78.77461,84.853226,0.46988374,-1.2058632,0.13274755,-0.7957374
140.67374,15.4605465,-1.0531372,1.1295044,3.9211984,-3.03993
117.35449,-106.20225,-0.5943184,-1.1760498,4.626226,-3.5422504
79.80937,-89.59453,-0.9788517,-0.95597994,2.2466729,-4.16875
32.454884,-18.77539,1.7292404,-0.581823,15.982401,-10.069382
-94.066505,96.13584,3.4865646,-27.540812,7.310547,-3.2056947
,214.875,,,,
37.1521,210.40686,0.8634607,0.70828664,-0.1272026,0.18190727
48.634644,220.5669,0.6700546,0.0070819855,-0.015037155,0.087286375
48.320213,240.57784,0.08950043,0.044288635,0.2759506,0.09718017
47.32197,277.09393,-0.6632641,0.5160469,0.5848438,-0.05345459
41.42207,320.937,-0.19034576,0.31217995,-0.037557602,-0.12511139
-16.630957,322.9293,0.1115097,0.32238808,-0.29687005,0.12645951
-96.08897,276.01456,0.8403152,-0.9111374,0.062741086,0.4690315
-84.256935,200.99394,0.9525154,-1.2303169,0.34714317,0.84096223
-20.576954,152.59639,1.0716912,-1.361615,-0.26270407,0.73289376
5.1030273,169.06953,-0.11935119,-0.8856438,-0.3916172,0.056780625
-2.0443358,200.42647,-1.220092,-1.0786377,-0.2859312,-0.33895645
-17.658203,221.99199,0.20529251,-0.5821327,-0.59849393,-0.47669488
-31.865137,226.56601,1.2234551,1.1874275,-0.77814686,-0.34175348
-37.705273,212.52832,-0.2830162,-0.38541108,-0.51158345,0.060643338
-25.381054,184.0291,-2.754911,-2.1799088,1.1493952,-0.12529397
4.522461,150.1666,-0.8426201,0.82536316,1.5008599,-0.13849792
26.462793,139.2205,0.08839645,-0.19507217,1.3964611,1.147674
11.668066,143.3872,0.3772766,0.24002533,-2.5513246,4.984082
-25.987696,144.8002,6.333173,-0.86845624,-0.42848787,6.290432
