X,Y
665000,6415000
670000,6415000
675000,6415000
680000,6415000
685000,6415000
690000,6415000
695000,6415000
700000,6415000
705000,6415000
710000,6415000
715000,6415000
720000,6415000
725000,6415000
730000,6415000
735000,6415000
740000,6415000
745000,6415000
750000,6415000
755000,6415000
760000,6415000
765000,6415000
770000,6415000
395000,6420000
400000,6420000
405000,6420000
410000,6420000
415000,6420000
420000,6420000
425000,6420000
430000,6420000
435000,6420000
440000,6420000
445000,6420000
450000,6420000
455000,6420000
460000,6420000
465000,6420000
470000,6420000
475000,6420000
480000,6420000
485000,6420000
490000,6420000
495000,6420000
500000,6420000
505000,6420000
510000,6420000
515000,6420000
520000,6420000
525000,6420000
530000,6420000
535000,6420000
540000,6420000
545000,6420000
550000,6420000
555000,6420000
560000,6420000
565000,6420000
570000,6420000
575000,6420000
580000,6420000
585000,6420000
590000,6420000
595000,6420000
600000,6420000
605000,6420000
610000,6420000
615000,6420000
620000,6420000
625000,6420000
630000,6420000
635000,6420000
640000,6420000
645000,6420000
650000,6420000
655000,6420000
660000,6420000
665000,6420000
670000,6420000
675000,6420000
680000,6420000
685000,6420000
690000,6420000
695000,6420000
700000,6420000
705000,6420000
710000,6420000
715000,6420000
720000,6420000
725000,6420000
730000,6420000
735000,6420000
740000,6420000
745000,6420000
750000,6420000
755000,6420000
760000,6420000
765000,6420000
770000,6420000
395000,6425000
400000,6425000
405000,6425000
410000,6425000
415000,6425000
420000,6425000
425000,6425000
430000,6425000
435000,6425000
440000,6425000
445000,6425000
450000,6425000
455000,6425000
460000,6425000
465000,6425000
470000,6425000
475000,6425000
480000,6425000
485000,6425000
490000,6425000
495000,6425000
500000,6425000
505000,6425000
510000,6425000
515000,6425000
520000,6425000
525000,6425000
530000,6425000
535000,6425000
540000,6425000
545000,6425000
550000,6425000
555000,6425000
560000,6425000
565000,6425000
570000,6425000
575000,6425000
580000,6425000
585000,6425000
590000,6425000
595000,6425000
600000,6425000
605000,6425000
610000,6425000
615000,6425000
620000,6425000
625000,6425000
630000,6425000
635000,6425000
640000,6425000
645000,6425000
650000,6425000
655000,6425000
660000,6425000
665000,6425000
670000,6425000
675000,6425000
680000,6425000
685000,6425000
690000,6425000
695000,6425000
700000,6425000
705000,6425000
710000,6425000
715000,6425000
720000,6425000
725000,6425000
730000,6425000
735000,6425000
740000,6425000
745000,6425000
750000,6425000
755000,6425000
760000,6425000
765000,6425000
770000,6425000
395000,6430000
400000,6430000
405000,6430000
410000,6430000
415000,6430000
420000,6430000
425000,6430000
430000,6430000
435000,6430000
440000,6430000
445000,6430000
450000,6430000
455000,6430000
460000,6430000
465000,6430000
470000,6430000
475000,6430000
480000,6430000
485000,6430000
490000,6430000
495000,6430000
500000,6430000
505000,6430000
510000,6430000
515000,6430000
520000,6430000
525000,6430000
530000,6430000
535000,6430000
540000,6430000
545000,6430000
550000,6430000
555000,6430000
560000,6430000
565000,6430000
570000,6430000
575000,6430000
580000,6430000
585000,6430000
590000,6430000
595000,6430000
600000,6430000
605000,6430000
610000,6430000
615000,6430000
620000,6430000
625000,6430000
630000,6430000
635000,6430000
640000,6430000
645000,6430000
650000,6430000
655000,6430000
660000,6430000
665000,6430000
670000,6430000
675000,6430000
680000,6430000
685000,6430000
690000,6430000
695000,6430000
700000,6430000
705000,6430000
710000,6430000
715000,6430000
720000,6430000
725000,6430000
730000,6430000
735000,6430000
740000,6430000
745000,6430000
750000,6430000
755000,6430000
760000,6430000
765000,6430000
770000,6430000
325000,6435000
330000,6435000
335000,6435000
385000,6435000
390000,6435000
395000,6435000
400000,6435000
405000,6435000
410000,6435000
415000,6435000
420000,6435000
425000,6435000
430000,6435000
435000,6435000
440000,6435000
445000,6435000
450000,6435000
455000,6435000
460000,6435000
465000,6435000
470000,6435000
475000,6435000
480000,6435000
485000,6435000
490000,6435000
495000,6435000
500000,6435000
505000,6435000
510000,6435000
515000,6435000
520000,6435000
525000,6435000
530000,6435000
535000,6435000
540000,6435000
545000,6435000
550000,6435000
555000,6435000
560000,6435000
565000,6435000
570000,6435000
575000,6435000
580000,6435000
585000,6435000
590000,6435000
595000,6435000
600000,6435000
605000,6435000
610000,6435000
615000,6435000
620000,6435000
625000,6435000
630000,6435000
635000,6435000
640000,6435000
645000,6435000
650000,6435000
655000,6435000
660000,6435000
665000,6435000
670000,6435000
675000,6435000
680000,6435000
685000,6435000
690000,6435000
695000,6435000
700000,6435000
705000,6435000
710000,6435000
715000,6435000
720000,6435000
725000,6435000
