Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11,Res_C12
4565.84,2879.14,569425.4,29677.36,1031.02,133489.57,71108.95,100376.87,112063.67,112063.67,29677.34,45730.3,6.183740789861504,3.320479093665155,-2.933900175304486,-1.259107479392939,0.239746273648908,0.3726481138438621,0.7416654891807303,0.7111890706106994,-0.1536124991601825,0.8015813514213546,0.3888761041728308,-0.6667722964478578
5127.35,215.98,574238.7,27589.25,1597.05,128489.64,67443.96,96102.67,114676.73,114676.73,27589.25,40775.83,6.183740789861504,3.320479093665155,-2.933900175304486,-1.259107479392939,0.239746273648908,0.3726481138438621,0.7416654891807303,0.7111890706106994,-0.1536124991601825,0.8015813514213546,0.3888761041728308,-0.6667722964478578
4938.4,4091.16,579055.16,25918.81,1602.74,123489.71,63960.07,91901.74,117444.61,117444.61,25918.79,35834.0,7.393523136389094,2.4508824877276854,-2.6608665530252384,-1.0554218896306526,-0.82930876824624,1.172347213527209,0.1022438341586111,0.5763476549173446,0.2826451787876693,0.5429897902745772,0.2864407802937725,-0.5352700740252211
2140.55,2140.55,583874.72,24821.31,1300.68,118489.79,60688.51,87784.6,120356.65,120356.65,24821.33,30910.89,7.393523136389094,2.4508824877276854,-2.6608665530252384,-1.0554218896306526,-0.82930876824624,1.172347213527209,0.1022438341586111,0.5763476549173446,0.2826451787876693,0.5429897902745772,0.2864407802937725,-0.5352700740252211
721.79,764.16,588697.28,22021.67,462.79,113489.87,57665.4,83763.62,123402.63,122974.97,22097.45,26017.13,5.858286901981795,0.1381581018956679,-3.630393669995257,1.277366377488508,-0.5505363849474156,2.072483687229296,-0.7794306507616431,0.4786664042631466,0.5615634028710105,-0.2444445887991058,0.2874254667584137,-0.2847620068017157
343.18,1200.56,593522.78,19379.78,765.0,108489.97,54931.8,79853.31,126572.88,118303.19,19573.15,21173.06,5.858286901981795,0.1381581018956679,-3.630393669995257,1.277366377488508,-0.5505363849474156,2.072483687229296,-0.7794306507616431,0.4786664042631466,0.5615634028710105,-0.2444445887991058,0.2874254667584137,-0.2847620068017157
466.81,3799.31,598351.14,16448.62,49.24,103490.07,52164.74,76070.75,129842.25,113659.35,16350.48,16381.12,8.677513134211985,-0.3635009723886413,-2.225907193753044,-0.0370723576099157,0.603935735641562,1.72886974215785,-1.5571807424656834,1.0580567578043067,0.6991149511823196,-0.6926017328796005,0.0604657101451139,-0.3370413872096395
750.08,15656.26,337861.2,205479.67,76615.82,241612.48,26468.52,283578.99,82171.29,82171.29,205479.68,76615.82,9.35768640566538,2.426385605426354,-2.4374233938619234,-2.587775630246264,2.6083235760266685,1.8122605816950432,-1.906264567256816,0.0064156898523346,-0.8080620820560339,-0.0223819048924254,0.8500022249717534,-0.4100463224384011
2957.9,17403.23,342360.35,203370.85,76182.55,244536.5,29802.23,280308.87,82700.33,82700.33,203370.87,76182.55,7.623818217713508,3.42538759518382,-3.0545065132383806,-3.2098761055576905,2.310664428759042,0.6421953506254912,-1.573831450282672,-0.294777429888659,-0.9017790459873402,0.0145521117081101,0.8324340426543808,-0.5263653150903858
256.62,15956.49,346870.61,201364.12,76076.13,244371.0,30682.13,277090.38,83455.07,83455.07,201364.14,76076.13,7.623818217713508,3.42538759518382,-3.0545065132383806,-3.2098761055576905,2.310664428759042,0.6421953506254912,-1.573831450282672,-0.294777429888659,-0.9017790459873402,0.0145521117081101,0.8324340426543808,-0.5263653150903858
