SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
92.320114,10.846484,0.20271663,0.19887066,-12.118787,-3.3766694
-325.83612,271.41455,18.005968,1.2654831,-1.0967286,-0.70552385
-5.040332,54.78916,0.05989685,-2.2164521,0.5436061,0.97211
-1.0606445,51.90459,-4.25264,-1.6897064,-0.13640986,0.48283607
7.8061523,47.755077,2.7717652,-0.9552368,0.75143546,-0.15989992
-0.7024414,43.17754,-3.7813935,1.3348846,0.720503,1.7661995
69.41152,37.057423,-2.6634355,0.72922975,0.0047392608,-1.3408048
-317.19327,141.88028,1.1711304,-1.3701203,-2.1427429,3.8073273
476.77832,206.76172,-0.52779233,-0.30871734,2.4618392,-0.18808022
0.94091797,4.191504,-1.6418022,-0.15293273,1.2871399,1.3896713
-39.99121,15.646973,0.33328706,-1.9069862,1.6892548,1.6342041
42.033302,23.586132,-2.5959702,5.027397,0.6511322,1.7108902
1.1665039,2.1273437,0.7211174,0.05619354,2.102887,2.210486
-70.36162,-58.936035,-2.0440307,-0.6792816,5.3146057,5.0994844
190.14384,43.749123,0.20725651,-0.03745184,1.7375717,0.8985111
-81.17422,27.362598,0.84623146,0.8016842,-3.0230613,0.860273
-16.124512,178.1661,0.7294701,2.2059035,0.4924183,-4.2374125
33.948048,211.28076,0.45382005,0.76919174,-0.81354105,1.2114071
-98.6248,133.94365,-1.4967788,-1.8740479,-0.54771173,1.4220276
23.47754,71.93154,5.244133,1.8191589,3.8082728,-2.1402287
-12.642285,69.30147,1.6892059,1.3526199,-0.9385746,0.90692824
-11.008594,51.9833,1.8747269,-0.061941527,-2.0563612,-4.2183943
12.670117,61.761425,8.081476,3.1322265,-1.3329082,-0.5136331
-6.1560545,65.538086,-2.2669206,0.3909088,0.9493109,-0.2199234
7.1910157,58.88584,-0.4683136,-0.9803665,0.38406628,0.09829674
0.26503906,61.604393,-1.6871964,2.9522858,1.8760521,-2.4534612
120.060936,188.28506,-3.3689392,-1.4256775,2.8880806,-0.6558655
196.31274,24.629395,-0.027197376,0.1669914,,
-184.91202,89.80088,-3.54422,4.4563627,-0.7568084,-1.9998829
-11.860059,38.050392,6.283026,-2.0323548,-0.18158178,-0.3504035
3.1914062,49.842186,-6.366107,12.36886,-2.2888699,-1.9491358
-0.73955077,60.796288,11.085132,6.523486,-3.9138794,-3.5812595
-1.4787109,62.191994,-10.597113,-0.609552,1.3663799,-0.20680833
2.617871,26.102345,3.9499269,-0.37242126,0.0,0.0
6.7933593,31.631836,5.488501,-1.0851043,-0.6863526,-1.4299526
28.698536,81.99365,-2.3709533,-2.9631104,-0.13344692,0.3002832
326.7508,57.43047,-0.04915924,-0.6406921,1.6724876,-1.2007881
8.44375,-13.962891,-0.759758,1.2161362,-0.68872374,1.9622307
-6.6768556,-43.076366,-0.2178009,-0.5466034,-0.57931364,0.76921386
-1.55625,2.106543,-1.2277275,-1.0087334,0.9568375,1.3670136
2.8385742,2.2226562,1.1265061,0.1853592,2.3027663,7.3401337
-67.862305,-46.06504,-0.07438278,-1.5399605,13.862256,7.4687166
7.3728027,61.519043,0.34880438,-0.30067196,-0.38482362,-2.6464481
-16.67422,41.036522,-0.17991944,2.2543304,0.4278105,-0.4718237
