Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11,Res_C12
39236.15,19218.95,1056861.12,437986.99,19219.36,193102.13,16209.28,19219.36,68835.06,83766.22,438318.88,85887.63,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
13496.5,55260.68,961603.41,368880.92,4477.03,104777.68,31137.23,12305.88,90537.12,5507.76,369268.79,2323.44,-7.153959240101624,3.0732213163654376,1.513135032323234,-1.4765771970119077,-0.3375433028309844,0.3725959499723209,0.6612905936164605,-0.969856935978492,1.0736925136634348,0.4332810049225595,-0.2191718415390233,-0.4071726165219524
46.46,36368.85,978383.17,378004.5,158.12,122524.1,26445.92,6129.25,88028.89,13644.18,378379.31,10705.43,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
2578.63,19749.99,995281.94,387945.45,2295.72,140875.64,18724.29,2295.72,84073.54,32865.88,388307.04,24472.41,-4.311534526654932,6.356212226636855,0.8578798802540291,1.81757419015637,-0.0054818336737849,-0.3066271198149031,-0.2682287051724751,0.0410739888310609,0.3780505064019574,0.4546788698254231,0.1563550885368585,-0.2320463895483165
12804.65,6287.96,1012293.76,398642.63,35.4,159569.18,4397.21,35.4,83353.8,52090.21,398991.0,41244.47,-3.3754359706822235,5.682182385832863,0.6070412420164532,1.8625004414716435,-0.3233193709465141,-0.6226389226122766,-0.2420741689661997,0.2386419003176304,0.2004813756387527,0.4028379187842893,0.0285102379812636,-0.1036214779770735
30196.48,8573.99,1029413.03,410036.84,45.17,178502.09,19157.67,45.17,85633.77,71031.3,410372.13,58900.39,-2.088798922722654,4.3125314455340895,0.5677571131450779,1.8465772280772144,-0.6858452979327045,-0.320101210604705,-0.210323650317895,0.3904823141183071,0.1780913972077342,0.4282067489862528,-0.1353178796068709,-0.0192403106470725
49447.12,20457.05,1046634.46,422071.65,12354.21,197645.31,17290.88,12354.21,88182.93,89970.13,422394.06,77545.79,-0.1950635465433097,2.517458161298599,1.0241569018695145,1.2585043533125488,-0.6756040966420288,0.4297072187946911,-0.1621605535834431,0.3523851535729065,0.2775488408356719,0.4586248880056555,-0.3114320222762245,0.0263998576785745
12100.96,10630.77,788946.08,314709.9,10914.99,30535.46,13393.86,10914.99,38921.08,14524.24,315179.53,24009.76,-4.947938055285873,-1.2116804995741786,6.899707330839233,-1.7883017131302033,-1.731189155413719,1.0898847469695956,1.1520376091122824,1.269686630921078,-0.354597110522468,-0.5653698428442478,-0.0955135074763319,0.4644132660809082
4187.02,49489.2,950773.04,350977.23,110.55,114048.56,13032.31,110.55,110491.85,412.51,351358.42,17496.7,-7.153959240101624,3.0732213163654376,1.513135032323234,-1.4765771970119077,-0.3375433028309844,0.3725959499723209,0.6612905936164605,-0.969856935978492,1.0736925136634348,0.4332810049225595,-0.2191718415390233,-0.4071726165219524
1269.68,38507.47,967740.61,360554.13,2548.27,130102.03,6787.92,2548.27,107815.67,19548.77,360921.32,3398.69,-4.803910524313967,6.474772455014157,1.2923794938994833,1.8392266934413408,0.1728654878264809,0.4971729104251802,-0.3238538938038689,-0.0833338009646802,0.5949331126728905,0.6104692609013636,0.2470689323808075,-0.3774871520168398
