X,Y
1020000,6450000
1040000,6450000
1060000,6450000
220000,6470000
240000,6470000
260000,6470000
280000,6470000
300000,6470000
320000,6470000
340000,6470000
360000,6470000
380000,6470000
400000,6470000
420000,6470000
440000,6470000
460000,6470000
480000,6470000
500000,6470000
520000,6470000
540000,6470000
560000,6470000
580000,6470000
600000,6470000
620000,6470000
640000,6470000
660000,6470000
680000,6470000
700000,6470000
720000,6470000
740000,6470000
760000,6470000
780000,6470000
800000,6470000
820000,6470000
840000,6470000
860000,6470000
880000,6470000
900000,6470000
920000,6470000
940000,6470000
960000,6470000
980000,6470000
1000000,6470000
1020000,6470000
1040000,6470000
1060000,6470000
-60000,6490000
-40000,6490000
-20000,6490000
200000,6490000
220000,6490000
240000,6490000
260000,6490000
280000,6490000
300000,6490000
320000,6490000
340000,6490000
360000,6490000
380000,6490000
400000,6490000
420000,6490000
440000,6490000
460000,6490000
480000,6490000
500000,6490000
520000,6490000
540000,6490000
560000,6490000
580000,6490000
600000,6490000
620000,6490000
640000,6490000
660000,6490000
680000,6490000
700000,6490000
720000,6490000
740000,6490000
760000,6490000
780000,6490000
800000,6490000
820000,6490000
840000,6490000
860000,6490000
880000,6490000
900000,6490000
920000,6490000
940000,6490000
960000,6490000
980000,6490000
1000000,6490000
1020000,6490000
1040000,6490000
1060000,6490000
-60000,6510000
-40000,6510000
-20000,6510000
0,6510000
20000,6510000
40000,6510000
60000,6510000
80000,6510000
100000,6510000
120000,6510000
160000,6510000
180000,6510000
200000,6510000
220000,6510000
240000,6510000
260000,6510000
280000,6510000
300000,6510000
320000,6510000
340000,6510000
360000,6510000
380000,6510000
400000,6510000
420000,6510000
440000,6510000
460000,6510000
480000,6510000
500000,6510000
520000,6510000
540000,6510000
560000,6510000
580000,6510000
600000,6510000
620000,6510000
640000,6510000
660000,6510000
680000,6510000
700000,6510000
720000,6510000
740000,6510000
760000,6510000
780000,6510000
800000,6510000
820000,6510000
840000,6510000
860000,6510000
880000,6510000
900000,6510000
920000,6510000
940000,6510000
960000,6510000
980000,6510000
1000000,6510000
1020000,6510000
1040000,6510000
1060000,6510000
-60000,6530000
-40000,6530000
-20000,6530000
0,6530000
20000,6530000
40000,6530000
60000,6530000
80000,6530000
100000,6530000
120000,6530000
140000,6530000
160000,6530000
180000,6530000
200000,6530000
220000,6530000
240000,6530000
260000,6530000
280000,6530000
300000,6530000
320000,6530000
340000,6530000
360000,6530000
380000,6530000
400000,6530000
420000,6530000
440000,6530000
460000,6530000
480000,6530000
500000,6530000
520000,6530000
540000,6530000
560000,6530000
580000,6530000
600000,6530000
620000,6530000
640000,6530000
660000,6530000
680000,6530000
700000,6530000
720000,6530000
740000,6530000
760000,6530000
780000,6530000
800000,6530000
820000,6530000
840000,6530000
860000,6530000
880000,6530000
900000,6530000
920000,6530000
940000,6530000
960000,6530000
980000,6530000
1000000,6530000
1020000,6530000
1040000,6530000
1060000,6530000
-60000,6550000
-40000,6550000
-20000,6550000
0,6550000
20000,6550000
40000,6550000
60000,6550000
80000,6550000
100000,6550000
120000,6550000
140000,6550000
160000,6550000
180000,6550000
200000,6550000
220000,6550000
240000,6550000
260000,6550000
280000,6550000
300000,6550000
320000,6550000
340000,6550000
360000,6550000
380000,6550000
400000,6550000
420000,6550000
440000,6550000
460000,6550000
480000,6550000
500000,6550000
520000,6550000
540000,6550000
560000,6550000
580000,6550000
600000,6550000
620000,6550000
640000,6550000
660000,6550000
680000,6550000
700000,6550000
720000,6550000
740000,6550000
760000,6550000
780000,6550000
800000,6550000
820000,6550000
840000,6550000
860000,6550000
880000,6550000
900000,6550000
920000,6550000
